pco.edge 26
wavelength(nm)	monosealedB1	QE(%)	QEcorrected(%)
320	6,333946924	57,56408214	3,64607841	4,055195666
330	19,02147555	83,26884842	15,83896364	17,61621377
340	30,27104576	93,74148792	28,3765287	31,56058737
350	30,7715379	96,28499576	29,62837396	32,95289902
360	32,63537854	97,25726232	31,74027571	35,30177194
370	34,03628691	98,18166967	33,41739478	37,16707631
380	40,7057412	98,85873764	40,2411819	44,75654336
390	44,90173767	99,08106815	44,4891213	49,48113332
400	51,90358809	98,94582101	51,35643137	57,11900692
410	53,26277873	98,6852443	52,56250331	58,46040915
420	59,02924597	98,48206452	58,13322011	64,65620201
430	58,54209051	98,40975005	57,61112495	64,07552388
440	61,76646753	98,46099007	60,81587546	67,63987135
450	62,03157699	98,58341465	61,15284675	68,01465335
460	61,08552647	98,71646228	60,3014707	67,06774653
470	62,79595351	98,821649	62,05599676	69,01914354
480	62,52815258	98,87729955	61,82614873	68,76350484
490	60,52300995	98,88222024	59,84649599	66,56172026
500	65,478	98,86698284	64,73612302	72
510	62,67349178	98,84442051	61,94924976	68,90041873
520	63,97616162	98,8291095	63,22707082	70,32162086
530	62,75827298	98,8282695	62,02291515	68,98234992
540	64,12688376	98,84784977	63,38804572	70,50065835
550	61,40715673	98,88863364	60,72469825	67,53846338
560	60,74640168	98,94007281	60,10253405	66,8464877
570	59,03732037	98,99771265	58,44559678	65,00362968
580	56,09151015	99,04603635	55,55641753	61,79026293
590	54,93148804	99,07675869	54,42433785	60,53115544
600	50,17297505	99,08289163	49,71283449	55,29098618
610	51,3303057	99,05721608	50,84637183	56,55171488
620	48,43294188	98,99666025	47,94699492	53,32700621
630	45,23682526	98,90266892	44,74042752	49,76063797
640	41,82000839	98,77527916	41,30783003	45,94287738
650	39,58339962	98,62049414	39,0373443	43,41762618
660	39,0289575	98,44167485	38,42075944	42,73185589
670	39,98039095	98,2497009	39,28061453	43,68819314
680	36,89327873	98,04391422	36,17161455	40,23034013
690	32,6542188	97,83762269	31,94811138	35,53292833
700	31,58705229	97,63248717	30,83922477	34,29961635
710	31,04741323	97,43565696	30,25125105	33,64566758
720	28,7556294	97,24502969	27,96342035	31,10112517
730	27,29685449	97,07697472	26,49896053	29,47234201
740	27,22553062	96,9195647	26,38686577	29,34766938
750	25,53125238	96,78785703	24,71115206	27,48392806
760	22,3041839	96,67609941	21,562815	23,98232405
770	19,86840661	96,57830021	19,18856938	21,34167032
780	20,6677722	96,50368232	19,94516122	22,18315742
790	19,86840661	96,4474938	19,16258023	21,312765
800	18,68954423	96,41145469	18,01886147	20,04071243
810	15,74642548	96,38694623	15,17749866	16,88052748
820	14,61331803	96,36979847	14,08282513	15,6630234
830	13,03477285	96,36148273	12,56050039	13,96988244
840	11,89493674	96,33484528	11,4589689	12,74475088
850	10,13740903	96,32886877	9,765251445	10,86098566
860	9,231730516	96,34968753	8,894743506	9,892800226
870	9,601807177	96,40990031	9,257092727	10,29580774
880	8,455242396	96,40138393	8,150970684	9,065570533
890	7,253502549	96,36715142	6,989993784	7,774323345
900	6,221325099	96,33729907	5,993456567	6,665967201
910	5,084180451	96,28527123	4,895316937	5,444608095
920	4,564727392	96,22587342	4,392448802	4,885314397
930	4,121981133	96,14748739	3,96318129	4,40787986
940	3,644245807	96,0485307	3,500244553	3,89299816
950	3,367024745	95,93804256	3,230257633	3,592716689
960	2,909475419	95,80838636	2,787521451	3,100302198
970	2,170667831	95,67718922	2,076833968	2,309870266
980	1,873260769	95,51646244	1,789272419	1,990042161
990	1,526061575	95,33546543	1,454877905	1,618126083
1000	1,285175312	95,14223565	1,222744524	1,359945601
1010	1,106192782	94,92108057	1,050010142	1,16782913
1020	0,924518785	94,68800694	0,875408411	0,97363578
1030	0,722658788	94,43971312	0,682476886	0,759055895
1040	0,62980319	94,16749071	0,59306986	0,659616732
1050	0,461586526	93,87318028	0,433305952	0,481926119
1060	0,336433328	93,56608721	0,314787501	0,350109012
1070	0,246269196	93,24501689	0,229633753	0,255400377
1080	0,18301973	92,9150663	0,170052904	0,189134111
1090	0,150722131	92,57209207	0,13952663	0,155182561
1100	0,100929998	92,19201385	0,093049398	0,103490236
