pco.edge 4.2 bi UV
wavelength(nm)	QE(%)ges
200	31,93910742
210	36,31101117
220	37,41045405
230	44,02582651
240	50,6128319
250	50,21703849
260	46,26216762
270	40,80633712
280	40,05595491
290	43,55182956
300	47,10498612
310	48,68520766
320	48,64169002
330	48,57273131
340	47,61721813
350	47,82979072
360	46,71836912
370	48,20902969
380	53,99366489
390	58,30779625
400	61,25271764
410	63,05278964
420	69,76572963
430	72,88244022
440	75,86960942
450	78,6656187
460	79,51513456
470	81,14115507
480	82,08303125
490	84,37235393
500	84,69774772
510	85,60707721
520	86,88707215
530	87,15570254
540	87,88451186
550	88,65879578
560	89,20875763
570	89,10872035
580	89,1927284
590	88,6423155
600	88,79533439
610	88,32675907
620	88,56869549
630	87,82401518
640	87,2015294
650	87,18464415
660	86,70082158
670	84,49433144
680	81,52960409
690	81,51116138
700	76,90379833
710	77,66075885
720	74,86563631
730	69,69335218
740	65,64314858
750	67,57968158
760	62,7490893
770	62,42771427
780	59,34686154
790	56,42321894
800	55,10474263
810	50,06442211
820	51,6459796
830	46,44737027
840	43,25486793
850	44,37126321
860	46,10548382
870	37,34552729
880	38,78035118
890	32,33050304
900	31,32434199
910	30,78382592
920	27,39434574
930	25,82166677
940	29,97427775
950	30,80104339
960	26,90081928
970	19,61622808
980	16,43508766
990	14,83114308
1000	14,9930898
1010	15,20520606
1020	12,41170793
1030	9,652669336
1040	8,980749185
1050	8,815686807
1060	6,68936909
1070	5,116542759
1080	4,326885017
1090	3,778051729
1100	2,826831458
