pco.edge 4.2 bi
wavelength(nm)	QE(%)	T(%)	QE(%)ges
200	34,534	0	0
210	38,376	0	0
220	38,879	0	0
230	45,236	0	0
240	51,648	0	0
250	51,074	0	0
260	47,021	0	0
270	41,516	0	0
280	40,836	0	0
290	44,52	0	0
300	48,299	0	0
310	50,076	0	0
320	50,188	57,56408214	28,89026154
330	50,269	83,26884842	41,85841741
340	49,422	93,74148792	46,32891816
350	49,776	96,28499576	47,92681949
360	48,753	97,25726232	47,4158331
370	50,439	98,18166967	49,52185236
380	56,628	98,85873764	55,98172595
390	61,29	99,08106815	60,72678667
400	64,519	98,94582101	63,83885426
410	66,528	98,6852443	65,65331933
420	73,72407	98,48206452	72,60498619
430	77,12453	98,40975005	75,8980572
440	80,38589	98,46099007	79,14874317
450	83,44181	98,58341465	82,25978554
460	84,4337	98,71646228	83,34996162
470	86,24414	98,821649	85,22788131
480	87,32163	98,87729955	86,34126967
490	89,82757	98,88222024	88,82349561
500	90,23738	98,86698284	89,214975
510	91,25495	98,84442051	90,20042651
520	92,66307	98,8291095	91,57808691
530	92,98835	98,8282695	91,89877714
540	93,80048	98,84784977	92,71975756
550	94,65755	98,88863364	93,60555783
560	95,28609	98,94007281	94,27612682
570	95,21716	98,99771265	94,26281045
580	95,34128	99,04603635	94,43175884
590	94,78381	99,07675869	93,90872671
600	94,97534	99,08289163	94,1043132
610	94,49919	99,05721608	93,60826683
620	94,7806	98,99666025	93,82962857
630	94,00378	98,90266892	92,97224731
640	93,35536	98,77527916	92,21201745
650	93,35322	98,62049414	92,06540686
660	92,84925	98,44167485	91,40235679
670	90,49846	98,2497009	88,91446627
680	87,3334	98,04391422	85,62508378
690	87,3227	97,83762269	85,43445374
700	82,39428	97,63248717	80,44358485
710	83,21176	97,43565696	81,07792502
720	80,22218	97,24502969	78,01208276
730	74,684	97,07697472	72,5009678
740	70,347	96,9195647	68,18000618
750	72,425	96,78785703	70,09860546
760	67,25	96,67609941	65,01467686
770	66,907	96,57830021	64,61764332
780	63,606	96,50368232	61,38213217
790	60,473	96,4474938	58,32469293
800	59,06	96,41145469	56,94060514
810	53,658	96,38694623	51,71930761
820	55,353	96,36979847	53,34357455
830	49,781	96,36148273	47,96970972
840	46,359	96,33484528	44,65987092
850	47,555	96,32886877	45,80919354
860	49,413	96,34968753	47,6092711
870	40,024	96,40990031	38,5870985
880	41,561	96,40138393	40,06537918
890	34,648	96,36715142	33,38929062
900	33,569	96,33729907	32,33946793
910	32,989	96,28527123	31,76354813
920	29,356	96,22587342	28,2480674
930	27,67	96,14748739	26,60400976
940	32,119	96,0485307	30,84982757
950	33,004	95,93804256	31,66339157
960	28,824	95,80838636	27,61580929
970	21,018	95,67718922	20,10943163
980	17,609	95,51646244	16,81949387
990	15,89	95,33546543	15,14880546
1000	16,063	95,14223565	15,28269731
1010	16,29	94,92108057	15,46264402
1020	13,297	94,68800694	12,59066428
1030	10,341	94,43971312	9,766010734
1040	9,621	94,16749071	9,059854281
1050	9,444	93,87318028	8,865383146
1060	7,166	93,56608721	6,704945809
1070	5,481	93,24501689	5,110759376
1080	4,635	92,9150663	4,306613323
1090	4,047	92,57209207	3,746392566
1100	3,028	92,19201385	2,791574179
