pco.edge 26 NIR
wavelength(nm)	monosealedB1	QE(%)	QEcorrected(%)
320	13.152	57.56	7.57
330	19.234	83.27	16.02
340	29.686	93.74	27.83
350	34.318	96.28	33.04
360	35.57	97.26	34.59
370	38.503	98.18	37.80
380	44.457	98.86	43.95
390	47.893	99.08	47.45
400	52.896	98.95	52.34
410	55.117	98.69	54.39
420	58.862	98.48	57.97
430	61.83	98.41	60.85
440	64.962	98.46	63.96
450	63.366	98.58	62.47
460	62.721	98.72	61.92
470	65.764	98.82	64.99
480	63.886	98.88	63.17
490	63.74	98.88	63.03
500	66.838	98.87	66.08
510	65.8	98.84	65.04
520	67.835	98.83	67.04
530	65.948	98.83	65.18
540	69.834	98.85	69.03
550	67.643	98.89	66.89
560	69.499	98.94	68.76
570	68.464	99.00	67.78
580	67.383	99.05	66.74
590	68.34	99.08	67.71
600	65.916	99.08	65.31
610	69.038	99.06	68.39
620	66.983	99.00	66.31
630	64.215	98.90	63.51
640	65.66	98.78	64.86
650	62.161	98.62	61.30
660	62.673	98.44	61.70
670	66.029	98.25	64.87
680	62.791	98.04	61.56
690	58.879	97.84	57.61
700	58.412	97.63	57.03
710	59.564	97.44	58.04
720	57.098	97.25	55.52
730	54.81	97.08	53.21
740	55.002	96.92	53.31
750	55.994	96.79	54.20
760	52.148	96.68	50.41
770	49.138	96.58	47.46
780	48.63	96.50	46.93
790	48.287	96.45	46.57
800	45.441	96.41	43.81
810	42.474	96.39	40.94
820	40.642	96.37	39.17
830	38.721	96.36	37.31
840	37.415	96.33	36.04
850	33.77	96.33	32.53
860	29.568	96.35	28.49
870	27.076	96.41	26.10
880	26.057	96.40	25.12
890	24.963	96.37	24.06
900	23.039	96.34	22.20
910	20.108	96.29	19.36
920	17.497	96.23	16.84
930	15.34	96.15	14.75
940	13.757	96.05	13.21
950	12.338	95.94	11.84
960	11.073	95.81	10.61
970	9.211	95.68	8.81
980	7.423	95.52	7.09
990	6.044	95.34	5.76
1000	5.057	95.14	4.81
1010	4.329	94.92	4.11
1020	3.816	94.69	3.61
1030	3.153	94.44	2.98
1040	2.431	94.17	2.29
1050	1.803	93.87	1.69
1060	1.234	93.57	1.15
1070	0.852	93.25	0.79
1080	0.614	92.92	0.57
1090	0.463	92.57	0.43
1100	0.358	92.19	0.33
