pco.panda 4.2 bi UV
wavelength(nm)	QE(%)	T(%)	QE(%)ges
200	13,885	88,873143	12,34003591
210	20,669	88,311795	18,25316491
220	31,517	88,027977	27,74377751
230	49,216	88,355216	43,48490311
240	51,648	88,940851	45,93617072
250	51,074	89,861129	45,89567303
260	42,656	90,65856	38,67131535
270	32,367	91,547666	29,63123305
280	28,254	92,337613	26,08906918
290	29,909	93,292661	27,90290198
300	32,745	94,015148	30,78526021
310	34,395	94,675946	32,56379163
320	35,911	95,223884	34,19584898
330	37,314	95,637389	35,68613533
340	38,86	96,037646	37,32022924
350	40,65	96,509499	39,23111134
360	40,731	96,678623	39,37816993
370	43,811	96,898955	42,45240118
380	50,393	96,994519	48,87844796
390	57,309	97,125308	55,66154276
400	63,628	97,200188	61,84653562
450	81,415	97,202674	79,13755704
500	89,62	96,830561	86,77954877
510	90,934	96,814613	88,03740019
520	91,385	96,669203	88,34115116
530	92,714	96,601355	89,56298027
540	93,041	96,561919	89,84217506
550	93,727	96,479285	90,42713945
560	92,512	96,400035	89,18160038
570	92,931	96,328223	89,51878092
580	92,701	96,226266	89,20271084
590	92,687	96,089356	89,0623414
600	92,523	96,105544	88,91973248
650	87,936	95,758341	84,20605474
700	80,883	95,510507	77,25176338
750	73,882	95,271331	70,38836477
800	62,023	95,00268	58,92351222
850	49,359	95,00268	46,89237282
900	39,702	95,00268	37,71796401
950	31,153	95,00268	29,5961849
1000	17,575	95,00268	16,69672101
1050	9,945	95,00268	9,448016526
1100	5,173	95,00268	4,914488636
