pco.panda 4.2 bi
wavelength(nm)	QE(%)	T(%)	QE(%)ges
200	13,885	0	0
210	20,669	0	0
220	31,517	0	0
230	49,216	0	0
240	51,648	0	0
250	51,074	0	0
260	42,656	0	0
270	32,367	0	0
280	28,254	0	0
290	29,909	0	0
300	32,745	0	0
310	34,395	0,002	0,0006879
320	35,911	0,098	0,03519278
330	37,314	0,407	0,15186798
340	38,86	1,423	0,5529778
350	40,65	4,57	1,857705
360	40,731	14,941	6,08561871
370	43,811	37,918	16,61225498
380	50,393	68,597	34,56808621
390	57,309	90,097	51,63368973
400	63,628	97,749	62,19573372
450	81,415	98,47	80,1693505
500	89,62	98,097	87,9145314
510	90,934	98,066	89,17533644
520	91,385	98,005	89,56186925
530	92,714	97,908	90,77442312
540	93,041	97,796	90,99037636
550	93,727	97,71	91,5806517
560	92,512	97,612	90,30281344
570	92,931	97,549	90,65326119
580	92,701	97,513	90,39552613
590	92,687	97,544	90,41060728
600	92,523	97,537	90,24415851
650	87,936	97,894	86,08406784
700	80,883	97,709	79,02997047
750	73,882	97,402	71,96254564
800	62,023	97,485	60,46312155
850	49,359	97,812	48,27902508
900	39,702	99,252	39,40502904
950	31,153	99,252	30,91997556
1000	17,575	99,252	17,443539
1050	9,945	99,252	9,8706114
1100	5,173	99,252	5,13430596
